Date,Boris Vujcic,Bostjan Vasle,Christine Lagarde,Constantinos Herodotou,Edward Scicluna,Fabio Panetta,Francois Villeroy de Galhau,Frank Elderson,Gabriel Makhlouf,Gaston Reinesch,Gediminas Simkus,Ignazio Visco,Isabel Schnabel,Joachim Nagel,Klaas Knot,Luis de Guindos,Madis Muller,Mario Centeno,Martins Kazaks,Olli Rehn,Pablo Hernandez de Cos,Peter Kazimir,Philip Lane,Piero Cipollone,Pierre Wunsch,Robert Holzmann,Yannis Stournaras,Month
2022-07-31,,1.0,0.8925619834710744,1.0,,1.0,1.0,0.3333333333333333,1.0,,1.0,0.14285714285714285,0.75,0.8787878787878788,1.0,0.3333333333333333,1.0,1.0,0.9,0.6666666666666666,1.0,1.0,1.0,,,0.6666666666666666,0.875,2022-07
2022-08-31,,,0.7090909090909091,,,-0.5,1.0,,,,,-1.0,0.8015267175572519,0.8846153846153846,1.0,-1.0,1.0,0.0,1.0,1.0,,,0.813953488372093,,1.0,1.0,0.0,2022-08
2022-09-30,,1.0,0.7948402948402948,1.0,0.3333333333333333,0.9166666666666666,0.875,0.3333333333333333,1.0,,1.0,0.38461538461538464,0.9444444444444444,0.9761904761904762,1.0,0.782608695652174,1.0,0.6444444444444445,0.6923076923076923,0.45454545454545453,0.5833333333333334,1.0,0.717391304347826,1.0,1.0,1.0,0.2,2022-09
2022-10-31,,1.0,0.7691218130311614,0.6666666666666666,,0.7959183673469388,0.7435897435897436,1.0,0.3333333333333333,1.0,0.7857142857142857,0.2727272727272727,0.38461538461538464,0.9629629629629629,0.8974358974358975,0.38461538461538464,1.0,0.5263157894736842,1.0,1.0,0.6111111111111112,1.0,0.391304347826087,,1.0,1.0,0.6666666666666666,2022-10
2022-11-30,,1.0,0.7308868501529052,-0.5,,0.10638297872340426,0.48484848484848486,0.125,0.6666666666666666,,1.0,0.3870967741935484,0.7413793103448276,0.7674418604651163,0.29411764705882354,0.39712918660287083,1.0,0.4,0.6666666666666666,1.0,0.3493975903614458,1.0,0.7971014492753623,,1.0,0.782608695652174,0.045454545454545456,2022-11
2022-12-31,1.0,1.0,0.7618421052631579,1.0,1.0,0.6190476190476191,0.6923076923076923,0.25,0.8333333333333334,,1.0,1.0,0.896551724137931,0.8235294117647058,0.8888888888888888,0.7391304347826086,0.0,0.5238095238095238,0.3333333333333333,1.0,0.25,1.0,0.6727272727272727,,0.5,0.3333333333333333,0.2222222222222222,2022-12
2023-01-31,1.0,,0.8007380073800738,0.6666666666666666,,0.6326530612244898,0.4482758620689655,0.5,0.8,,0.5,0.17647058823529413,0.7536231884057971,0.9393939393939394,0.8378378378378378,0.9,,0.45454545454545453,0.875,1.0,0.8571428571428571,1.0,0.8863636363636364,,0.0,0.8181818181818182,0.47368421052631576,2023-01
2023-02-28,1.0,1.0,0.8234183191690274,0.3333333333333333,,0.391304347826087,0.75,0.0,1.0,,0.7916666666666666,0.49056603773584906,0.8842975206611571,0.7910447761194029,0.8461538461538461,0.8,0.5,0.43478260869565216,1.0,0.75,0.4473684210526316,1.0,0.7735849056603774,,1.0,0.7142857142857143,0.7,2023-02
2023-03-31,1.0,1.0,0.6903292181069959,0.85,,0.42857142857142855,0.6578947368421053,0.5,,,0.35294117647058826,0.38202247191011235,0.6428571428571429,0.8813559322033898,0.9,0.5925925925925926,0.7142857142857143,0.23809523809523808,0.6,0.8571428571428571,0.5238095238095238,0.8181818181818182,0.7535211267605634,,0.8809523809523809,0.7755102040816326,0.46875,2023-03
2023-04-30,0.92,1.0,0.6265822784810127,0.75,1.0,0.7446808510638298,0.6896551724137931,0.8,0.8181818181818182,,0.6,0.5517241379310345,0.9555555555555556,0.8,0.8928571428571429,0.47572815533980584,,0.5714285714285714,0.8636363636363636,0.6923076923076923,0.7916666666666666,0.7058823529411765,0.9349112426035503,1.0,0.9636363636363636,0.8,0.20833333333333334,2023-04
2023-05-31,1.0,1.0,0.8339798293250582,0.7,1.0,0.8148148148148148,0.38596491228070173,0.6153846153846154,0.6153846153846154,1.0,0.7647058823529411,0.56,0.7954545454545454,0.9540229885057471,0.896551724137931,0.663594470046083,1.0,0.5666666666666667,0.84,1.0,0.7121212121212122,1.0,0.6304347826086957,1.0,0.8461538461538461,0.5,0.375,2023-05
2023-06-30,1.0,1.0,0.834319526627219,1.0,,0.6095890410958904,0.4418604651162791,0.7142857142857143,0.7777777777777778,,0.6153846153846154,0.28846153846153844,0.7428571428571429,1.0,1.0,0.6209677419354839,0.75,0.43478260869565216,0.85,0.9333333333333333,0.5,1.0,0.75,1.0,0.36363636363636365,0.875,0.2222222222222222,2023-06
2023-07-31,1.0,0.6,0.6788370520622042,0.5,,0.6739130434782609,0.30985915492957744,0.5,,,-0.1111111111111111,0.1,0.3333333333333333,0.5673076923076923,-0.2222222222222222,0.6595744680851063,1.0,0.16666666666666666,0.0,1.0,1.0,0.8333333333333334,0.75,1.0,-1.0,,0.1891891891891892,2023-07
2023-08-31,,,0.4936102236421725,-0.3333333333333333,,0.2987012987012987,-0.16666666666666666,0.0,,,,,0.48936170212765956,0.7647058823529411,-1.0,0.7777777777777778,,0.2631578947368421,0.5384615384615384,1.0,0.3076923076923077,-1.0,0.3333333333333333,0.8837209302325582,,0.9310344827586207,0.6,2023-08
2023-09-30,0.2727272727272727,0.14285714285714285,0.5855535820011841,0.8333333333333334,,0.8367346938775511,0.46296296296296297,0.5625,0.8181818181818182,,0.3333333333333333,0.08333333333333333,0.5714285714285714,0.7578947368421053,0.4482758620689655,0.6185567010309279,0.1111111111111111,0.2037037037037037,0.84375,1.0,0.5,0.6857142857142857,-0.1111111111111111,0.896551724137931,0.5555555555555556,1.0,0.027777777777777776,2023-09
2023-10-31,0.7142857142857143,0.42857142857142855,0.4001736111111111,0.35714285714285715,1.0,0.6388888888888888,0.05747126436781609,0.6,0.75,,0.5217391304347826,0.3902439024390244,0.6,0.7377049180327869,0.8076923076923077,0.6533333333333333,1.0,0.2037037037037037,0.9583333333333334,1.0,0.43137254901960786,0.047619047619047616,0.5862068965517241,0.8181818181818182,0.0,0.5,0.07017543859649122,2023-10
2023-11-30,0.0,0.0,0.47389162561576353,1.0,1.0,0.39705882352941174,0.05555555555555555,0.3333333333333333,0.8076923076923077,,0.5555555555555556,1.0,0.6111111111111112,0.7164179104477612,0.4666666666666667,0.5783582089552238,-1.0,0.49586776859504134,0.6153846153846154,0.0,0.4857142857142857,,0.627906976744186,0.7083333333333334,0.631578947368421,0.7,0.13513513513513514,2023-11
2023-12-31,1.0,0.5789473684210527,0.1390284757118928,1.0,,0.15384615384615385,-0.5316455696202531,0.6086956521739131,1.0,,-0.1111111111111111,,-0.4696132596685083,0.6097560975609756,1.0,0.4375,0.3333333333333333,0.4,0.5294117647058824,,0.5,0.5714285714285714,0.3548387096774194,0.32142857142857145,0.34285714285714286,0.7241379310344828,0.5357142857142857,2023-12
